Player,Position,Date of surgery,birthState
Nick Adenhart,Pitcher,4-Jun,MD
Brady Aiken,Pitcher,15-Mar,CA
Brett Anderson,Pitcher,14-Jul-11,TX
Rick Ankiel,Pitcher_/_Outfielder,3-Jul,FL
Bronson Arroyo,Pitcher,15-Jul-14,FL
Danys Baez,Pitcher,26-Oct-07,CUBA
Homer Bailey,Pitcher,8-May-15,TX
Rocco Baldelli,Outfielder,5-Jun,RI
Aaron Barrett,Pitcher,3-Sep-15,IN
Brandon Beachy,Pitcher,12-Jun,IN
Rod Beck,Pitcher,1-Oct,CA
Erik Bedard,Pitcher,10-Sep-02,CANADA
Joe Beimel,Pitcher,1-May-12,PA
Kris Benson,Pitcher,22-May-01,WI
Joe Biagini,Pitcher,2010,CA
Jesse Biddle,Pitcher,14-Oct-15,PA
Kyle Blanks,Infielder_/_Outfielder,1-May-12,PA
Ricky Bones,Pitcher,3-May,PUERTO RICO
Dewon Brazelton,Pitcher,1996,TN 
A.J.  Burnett,Pitcher,3-Apr,AR
Walker Buehler,Pitcher,5-Aug-15,KY 
Paul Byrd,Pitcher,1-Jul-03,KY 
Jose Canseco,Outfielder,Jun-93,CUBA
Carter Capps,Pitcher,8-Mar-16,NC
Chris Capuano,Pitcher,2-May,MA
Chris Carpenter,Pitcher,7-Jul,NH
Carlos Carrasco,Pitcher,14-Sep-11,VENEZUELA
Joba Chamberlain,Pitcher,16-Jun-11,NE
Wei-Yin Chen,Pitcher,2006,
Shin-Soo Choo,Outfielder,7-Sep,
Alex Cobb,Pitcher,14-May-15,MA
Tim Collins,Pitcher,15-Mar,MA
Patrick Corbin,Pitcher,25-Mar-14,NY
Manny Corpas,Pitcher,2010,PANAMA
Neal Cotts,Pitcher,9-Jul,IL
Zack Cozart,Shortstop,11-Aug,TN 
Carl Crawford,Outfielder,23-Aug-12,TX
Yu Darvish,Pitcher,17-Mar-15,
Jacob deGrom,Pitcher,10-Oct,FL
Manny Delcarmen,Pitcher,2-May-03,MA
Ryan Dempster,Pitcher,4-Aug-03,CANADA
Darren Dreifort,Pitcher,14-Mar-95,
Octavio Dotel,Pitcher,6-Jun-05,
Adam Eaton,Pitcher,2001,WA
Josh Edgin,Pitcher,15-Mar,PA
Nathan Eovaldi,Pitcher,2007,TX
Scott Erickson,Pitcher,Aug-00,
Erick Fedde,Pitcher,3-Jun-15,
Scott Feldman,Pitcher,2003,
Jose Fernandez,Pitcher,16-May-14,
Pablo Fernandez,Pitcher,12-May-16,
Eric Gagne,Pitcher,1997,
Jaime Garcia,Pitcher,2008,MEXICO
Mike Gonzalez,Pitcher,31-May-07,TX
Tom Gordon,Pitcher,13-Dec-99,
A.J. Griffin,Pitcher,30-Apr-14,
Jason Grilli,Pitcher,2002,
Mike Hampton,Pitcher,25-Sep-05,
Joel Hanrahan,Pitcher,16-May-13,
Matt Harvey,Pitcher,22-Oct-13,
Pat Hentgen,Pitcher,1-Aug,
Ty Hensley,Pitcher,31-Mar-15,
Jeff Hoffman,Pitcher,2014,
Greg Holland,Pitcher,2-Oct-15,
Mario Hollands,Pitcher,8-Apr-15,
Daniel Hudson,Pitcher,9-Jul-12,
Tim Hudson,Pitcher,2-Aug-08,
Jason Isringhausen,Pitcher,13-Jan-98,
Tommy John,Pitcher,25-Sep-74,
Josh Johnson,Pitcher,3-Aug-07,
Anthony Kay,Pitcher,4-Oct-16,
Casey Kelly,Pitcher,2-Apr-13,
Tyler Kolek,Pitcher,7-Apr-16,
Hong-Chih Kuo,Pitcher,2000,
John Lackey,Pitcher,1-Nov-11,
Jon Lieber,Pitcher,7-Aug-02,
Francisco Liriano,Pitcher,6-Nov-06,
Rodrigo Lopez,Pitcher,22-Aug-07,MEXICO
Barret Loux,Pitcher,2013,VENEZUELA
Lance Lynn,Pitcher,10-Nov-15,
Ryan Madson,Pitcher,12-Mar,
Matt Mantei,Pitcher,19-Jun-01,
Shaun Marcum,Pitcher,30-Sep-08,
Daisuke Matsuzaka,Pitcher,10-Jun-11,
Michael Matuella,Pitcher,15-Apr,
Steven Matz,Pitcher,10-May,
Dustin McGowan,Pitcher,13-May-04,
Andrew McKirahan,Pitcher,2012,
Kris Medlen,Pitcher,10-Aug,
Paul Molitor,Third baseman,1984,
Matt Moore,Pitcher,22-Apr-14,
Charlie Morton,Pitcher,12-Jun,
Jon Moscot,Pitcher,16-Jul,
Jamie Moyer,Pitcher,1-Dec-10,
Joe Nathan,Pitcher,10-Mar,
Ivan Nova,Pitcher,29-Apr-14,
Roberto Osuna,Pitcher,13-Jun,
Jarrod Parker,Pitcher,28-Oct-09,
John Parrish,Pitcher,15-Jul-05,
Mike Pelfrey,Pitcher,12-Apr,
Odalis Perez,Pitcher,5-Aug-99,
Colin Rea,Pitcher,10-Nov-16,
Alex Reyes,Pitcher,16-Feb-17,
Jose Rijo,Pitcher,1995,
Fernando Rodney,Pitcher,29-Apr-04,
Jordan Romano,Pitcher,15-Apr,
Hector Ronon,Pitcher,10-Aug,
Danny Salazar,Pitcher,2010,
Anibal Sanchez,Pitcher,2003,
Miguel Sano,Third baseman,14-Mar,
Bo Schultz,Pitcher,29-Mar-17,
Ben Sheets,Pitcher,10-Aug,
Shae Simmons,Pitcher,12-Feb-15,
Will Smith,Pitcher,30-Mar-17,
John Smoltz,Pitcher,2000,
Joakim Soria,Pitcher,3-Apr,
Rafael Soriano,Pitcher,17-Aug-04,
Glenn Sparkman,Pitcher,2015,
Stephen Strasburg,Pitcher,10-Aug,
Brent Strom,Pitcher,1978,
Tyler Sturdevant,Pitcher,2007,
Jameson Taillon,Pitcher,14-Apr,
Josh Tomlin,Pitcher,21-Aug-12,
Billy Traber,Pitcher,21-Sep-03,
Jason Vargas,Pitcher,15-Aug,
Christian Vazquez,Catcher,2-Apr-15,
Jonny Venters,Pitcher,2005,
Edinson Volquez,Pitcher,3-Aug-09,
Billy Wagner,Pitcher,10-Sep-08,
Neil Wagner,Pitcher,14-Aug,
Adam Wainwright,Pitcher,2011,
Daniel Webb,Pitcher,16-Jun,
Duke Welker,Pitcher,5-Jun-14,
Jake Westbrook,Pitcher,8-Jun,GA
Zach Wheeler,Pitcher,15-Mar,GA
Bob Wickman,Pitcher,9-Dec-02,
Matt Wieters,Catcher,17-Jun-14,
Brian Wilson,Pitcher,2012,
Paul Wilson,Pitcher,1-Apr-99,
Chase Whitley,Pitcher,19-May-15,
Mac Williamson,Outfielder,29-Apr-14,
Mark Wohlers,Pitcher,6-Jul-99,
Randy Wolf,Pitcher,1-Jul-05,CA
Kerry Wood,Pitcher,8-Apr-99,TX
Tim Worrell,Pitcher,12-May-94,CA
Victor Zambrano,Pitcher,1996,
Jordan Zimmermann,Pitcher,9-Aug,British Columbia 
Joel Zumaya,Pitcher,12-Mar,